Date,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,Index Adjusted No. of Shares (IANS),Symbol
22-02-2018,17550,1.15,17440,17350,17580,17100,121272760,21283369,45119324,259345,1484,121272760,AZRG
21-02-2018,17350,3.09,16830,16830,17610,16800,121272760,21040824,38974624,227319,1690,121272760,AZRG
20-02-2018,16830,0.36,16720,16770,17000,16660,121272760,20410206,31823061,189453,702,121272760,AZRG
19-02-2018,16770,2.51,16340,16360,16900,16340,121272760,20337442,16290735,97661,1107,121272760,AZRG
18-02-2018,16360,-1.09,16380,16540,16480,16200,121272760,19840224,12395932,75962,1001,121272760,AZRG
15-02-2018,16540,-2.93,17040,17040,17040,16530,121272760,20058515,62600896,375415,1799,121272760,AZRG
14-02-2018,17040,-0.76,17210,17170,17270,16840,121272760,20664878,19221846,113124,1426,121272760,AZRG
13-02-2018,17170,-2.11,17450,17540,17650,17060,121272760,20822533,20746492,120346,1288,121272760,AZRG
12-02-2018,17540,2.21,17160,17160,17760,17160,121272760,21271242,17765629,101624,1343,121272760,AZRG
11-02-2018,17160,-0.29,17210,17210,17370,16940,121272760,20810406,5906612,34320,517,121272760,AZRG
08-02-2018,17210,-1.49,17400,17470,17500,17150,121272760,20871042,16845905,97097,988,121272760,AZRG
07-02-2018,17470,-0.74,17600,17600,17680,17300,121272760,21186351,18154720,103699,1386,121272760,AZRG
06-02-2018,17600,-1.18,17440,17810,18090,17320,121272760,21344006,40833312,229941,1308,121272760,AZRG
05-02-2018,17810,-2.25,18230,18220,18260,17750,121272760,21598679,27926485,154499,1750,121272760,AZRG
04-02-2018,18220,-0.71,18150,18350,18240,18030,121272760,22095897,6751949,37199,532,121272760,AZRG
01-02-2018,18350,-1.5,18630,18630,18690,18350,121272760,22253551,43695232,237503,819,121272760,AZRG
31-01-2018,18630,4.02,17990,17910,18700,17910,121272760,22593115,45429019,248532,1222,121272760,AZRG
30-01-2018,17910,-1.16,18090,18120,18260,17910,121272760,21719951,20602339,113925,1348,121272760,AZRG
